product_set_id,product_id
"[FOODS_3_210, FOODS_1_877]",FOODS_3_210
"[FOODS_3_210, FOODS_1_877]",FOODS_1_877
"[FOODS_3_976, FOODS_2_860]",FOODS_3_976
"[FOODS_3_976, FOODS_2_860]",FOODS_2_860
"[FOODS_3_577, HOUSHOLD_2_607]",FOODS_3_577
"[FOODS_3_577, HOUSHOLD_2_607]",HOUSHOLD_2_607
"[FOODS_2_057, FOODS_1_245]",FOODS_2_057
"[FOODS_2_057, FOODS_1_245]",FOODS_1_245
"[FOODS_2_199, FOODS_1_245]",FOODS_2_199
"[FOODS_2_199, FOODS_1_245]",FOODS_1_245
"[FOODS_2_469, FOODS_3_129]",FOODS_2_469
"[FOODS_2_469, FOODS_3_129]",FOODS_3_129
"[HOUSHOLD_2_251, FOODS_3_962]",HOUSHOLD_2_251
"[HOUSHOLD_2_251, FOODS_3_962]",FOODS_3_962
"[FOODS_1_342, HOUSHOLD_2_510]",FOODS_1_342
"[FOODS_1_342, HOUSHOLD_2_510]",HOUSHOLD_2_510
"[FOODS_2_490, FOODS_2_038]",FOODS_2_490
"[FOODS_2_490, FOODS_2_038]",FOODS_2_038
"[HOUSHOLD_2_510, HOBBIES_1_782]",HOUSHOLD_2_510
"[HOUSHOLD_2_510, HOBBIES_1_782]",HOBBIES_1_782
"[FOODS_3_331, FOODS_1_500]",FOODS_3_331
"[FOODS_3_331, FOODS_1_500]",FOODS_1_500
"[HOUSHOLD_1_795, FOODS_2_038]",HOUSHOLD_1_795
"[HOUSHOLD_1_795, FOODS_2_038]",FOODS_2_038
"[FOODS_1_522, HOUSHOLD_2_004]",FOODS_1_522
"[FOODS_1_522, HOUSHOLD_2_004]",HOUSHOLD_2_004
"[FOODS_2_091, FOODS_2_061]",FOODS_2_091
"[FOODS_2_091, FOODS_2_061]",FOODS_2_061
"[FOODS_1_036, FOODS_1_522]",FOODS_1_036
"[FOODS_1_036, FOODS_1_522]",FOODS_1_522
"[FOODS_3_976, FOODS_1_757]",FOODS_3_976
"[FOODS_3_976, FOODS_1_757]",FOODS_1_757
"[FOODS_2_158, FOODS_2_280]",FOODS_2_158
"[FOODS_2_158, FOODS_2_280]",FOODS_2_280
"[FOODS_1_036, FOODS_3_883]",FOODS_1_036
"[FOODS_1_036, FOODS_3_883]",FOODS_3_883
"[FOODS_3_331, HOBBIES_1_707]",FOODS_3_331
"[FOODS_3_331, HOBBIES_1_707]",HOBBIES_1_707
"[FOODS_3_845, FOODS_3_855]",FOODS_3_845
"[FOODS_3_845, FOODS_3_855]",FOODS_3_855
"[FOODS_3_962, FOODS_2_846]",FOODS_3_962
"[FOODS_3_962, FOODS_2_846]",FOODS_2_846
"[FOODS_3_508, FOODS_1_248]",FOODS_3_508
"[FOODS_3_508, FOODS_1_248]",FOODS_1_248
"[FOODS_2_058, FOODS_2_218]",FOODS_2_058
"[FOODS_2_058, FOODS_2_218]",FOODS_2_218
"[HOUSHOLD_2_510, FOODS_1_625]",HOUSHOLD_2_510
"[HOUSHOLD_2_510, FOODS_1_625]",FOODS_1_625
"[HOBBIES_1_707, FOODS_2_218]",HOBBIES_1_707
"[HOBBIES_1_707, FOODS_2_218]",FOODS_2_218
"[FOODS_3_051, FOODS_2_218]",FOODS_3_051
"[FOODS_3_051, FOODS_2_218]",FOODS_2_218
"[HOBBIES_1_895, FOODS_3_298]",HOBBIES_1_895
"[HOBBIES_1_895, FOODS_3_298]",FOODS_3_298
"[HOUSHOLD_1_795, FOODS_3_216]",HOUSHOLD_1_795
"[HOUSHOLD_1_795, FOODS_3_216]",FOODS_3_216
"[HOUSHOLD_1_795, HOBBIES_1_782]",HOUSHOLD_1_795
"[HOUSHOLD_1_795, HOBBIES_1_782]",HOBBIES_1_782
[FOODS_1_553],FOODS_1_553
"[FOODS_1_331, FOODS_3_551]",FOODS_1_331
"[FOODS_1_331, FOODS_3_551]",FOODS_3_551
"[FOODS_3_905, FOODS_2_069]",FOODS_3_905
"[FOODS_3_905, FOODS_2_069]",FOODS_2_069
"[FOODS_2_158, HOUSHOLD_1_065]",FOODS_2_158
"[FOODS_2_158, HOUSHOLD_1_065]",HOUSHOLD_1_065
"[FOODS_3_295, FOODS_2_091]",FOODS_3_295
"[FOODS_3_295, FOODS_2_091]",FOODS_2_091
"[FOODS_1_522, FOODS_3_390]",FOODS_1_522
"[FOODS_1_522, FOODS_3_390]",FOODS_3_390
"[HOBBIES_1_292, FOODS_3_051]",HOBBIES_1_292
"[HOBBIES_1_292, FOODS_3_051]",FOODS_3_051
"[HOUSHOLD_1_153, FOODS_1_748]",HOUSHOLD_1_153
"[HOUSHOLD_1_153, FOODS_1_748]",FOODS_1_748
"[FOODS_1_882, FOODS_2_069]",FOODS_1_882
"[FOODS_1_882, FOODS_2_069]",FOODS_2_069
[FOODS_3_331],FOODS_3_331
"[FOODS_1_342, FOODS_3_210]",FOODS_1_342
"[FOODS_1_342, FOODS_3_210]",FOODS_3_210
"[FOODS_1_248, FOODS_2_374]",FOODS_1_248
"[FOODS_1_248, FOODS_2_374]",FOODS_2_374
"[HOUSHOLD_2_932, HOBBIES_1_340]",HOUSHOLD_2_932
"[HOUSHOLD_2_932, HOBBIES_1_340]",HOBBIES_1_340
"[FOODS_2_516, FOODS_1_248]",FOODS_2_516
"[FOODS_2_516, FOODS_1_248]",FOODS_1_248
"[HOBBIES_1_983, FOODS_1_500]",HOBBIES_1_983
